prosumer_id,prosumer_name,location,total_consumption,total_production,max_consumption,max_production,avg_total_consumption,avg_total_production,avg_max_consumption,avg_max_production
5031,HEDNO_commercial_MV_5031,Μ.Τ Περ. Πειραιώς,696406.159999996,0.0,35.68,,58032.913333333345,0.0,31.96666666666667,0.0
5032,HEDNO_commercial_MV_5032,Καρδίτσας,405379.040000001,0.0,26.0,,33781.07333333328,0.0,22.70666666666667,0.0
5033,HEDNO_commercial_MV_5033,Μ.Τ. Περ. Φιλοθέης,215588.08,0.0,26.8,,17965.286666666725,0.0,18.353333333333335,0.0
5034,HEDNO_commercial_MV_5034,Πάτρας,1961991.5,0.0,109.5,,163496.91666666666,0.0,91.62499999999999,0.0
5035,HEDNO_commercial_MV_5035,Μ.Τ Περ. Περιστερίου,1569548.8,0.0,79.8,,130794.18333333335,0.0,73.64999999999999,0.0
5036,HEDNO_commercial_MV_5036,Πάτρας,817073.599999998,0.0,45.6,,68088.61666666665,0.0,39.78333333333334,0.0
5037,HEDNO_commercial_MV_5037,Πάτρας,595735.800000002,0.0,36.4,,49643.91666666667,0.0,28.683333333333334,0.0
5038,HEDNO_commercial_MV_5038,Πάτρας,2752440.0,0.0,197.5,,229367.33333333337,0.0,167.5,0.0
5039,HEDNO_commercial_MV_5039,Μ.Τ Περ. Περιστερίου,605450.699999997,0.0,37.2,,50453.64166666661,0.0,34.266666666666666,0.0
5040,HEDNO_commercial_MV_5040,Μ.Τ Περ. Περιστερίου,229845.999999997,0.0,28.6,,19153.5833333333,0.0,23.53333333333333,0.0
5041,HEDNO_commercial_MV_5041,Πάτρας,976119.599999998,0.0,57.6,,81342.14999999998,0.0,49.65,0.0
5042,HEDNO_commercial_MV_5042,Μ.Τ. Περ. Φιλοθέης,10166307.0000001,0.0,466.8,,847173.5499999998,0.0,411.09999999999997,0.0
5043,HEDNO_commercial_MV_5043,Πτολεμαϊδας,537773.339999999,0.0,29.97,,44813.675,0.0,26.859999999999996,0.0
5044,HEDNO_commercial_MV_5044,Κοζάνης,877085.760000001,0.0,66.2,,73089.47666666667,0.0,49.970000000000006,0.0
5045,HEDNO_commercial_MV_5045,Καρδίτσας,68576.8000000032,0.0,10.0,,5714.673333333351,0.0,5.666666666666666,0.0
5046,HEDNO_commercial_MV_5046,Μ.Τ. Περ. Φιλοθέης,1280088.36000002,0.0,162.12,,106672.73999999998,0.0,110.28999999999999,0.0
5047,HEDNO_commercial_MV_5047,Κεντρ. Θεσ/κης,644509.980000008,0.0,51.94,,53708.98000000004,0.0,40.266666666666666,0.0
5048,HEDNO_commercial_MV_5048,Μ.Τ. Περ. Φιλοθέης,1706394.72000001,0.0,137.16,,142196.46000000008,0.0,116.69,0.0
5049,HEDNO_commercial_MV_5049,Μ.Τ Περ. Πειραιώς,164323.500000002,0.0,13.2,,13693.325000000068,0.0,7.425,0.0
5050,HEDNO_commercial_MV_5050,Μ.Τ Περ. Αθηνών,5352987.99999997,0.0,503.6,,446077.3666666665,0.0,379.3333333333333,0.0
6001,HEDNO_biomhxanikoi_6001,Δυτ. Θεσ/κης,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
6002,HEDNO_biomhxanikoi_6002,Λαυρίου,101717.811999999,0.0,14.928,,8476.395333333334,0.0,11.273333333333333,0.0
6003,HEDNO_biomhxanikoi_6003,Δυτ. Θεσ/κης,45963.1959999991,0.0,6.904,,3830.2663333333676,0.0,2.2916666666666665,0.0
6004,HEDNO_biomhxanikoi_6004,Κορωπίου,162664.719999999,0.0,33.052,,13555.186,0.0,25.456666666666667,0.0
6005,HEDNO_biomhxanikoi_6005,Δυτ. Θεσ/κης,518991.496000003,0.0,15.7,,43248.00266666671,0.0,15.408000000000003,0.0
6006,HEDNO_biomhxanikoi_6006,Χαλκίδας,547988.280000005,0.0,38.112,,45665.19866666665,0.0,33.63933333333333,0.0
6007,HEDNO_biomhxanikoi_6007,Δυτ. Θεσ/κης,66081.0399999995,0.0,10.548,,5506.724999999998,0.0,8.627333333333333,0.0
6008,HEDNO_biomhxanikoi_6008,Δυτ. Θεσ/κης,347226.948,0.0,26.588,,28935.38933333334,0.0,23.291,0.0
6009,HEDNO_biomhxanikoi_6009,Δυτ. Θεσ/κης,90049.4560000006,0.0,15.444,,7504.109666666665,0.0,12.12866666666667,0.0
6010,HEDNO_biomhxanikoi_6010,Καβάλας,10981.9039999996,0.0,4.228,,915.1410000000014,0.0,3.0246666666666666,0.0
6011,HEDNO_biomhxanikoi_6011,Ορεστιάδας,759.696,0.0,15.872,,63.308,0.0,3.642666666666667,0.0
6012,HEDNO_biomhxanikoi_6012,Αιγίου,21113.9959999997,0.0,30.596,,1759.4566666666556,0.0,24.093,0.0
6013,HEDNO_biomhxanikoi_6013,Φλώρινας,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
6014,HEDNO_biomhxanikoi_6014,Δυτ. Θεσ/κης,21733.1440000003,0.0,17.084,,1811.0700000000002,0.0,6.515666666666666,0.0
6015,HEDNO_biomhxanikoi_6015,Αιγάλεω,234982.927999999,0.0,18.584,,19581.605666666666,0.0,13.990333333333332,0.0
6016,HEDNO_biomhxanikoi_6016,Αιγάλεω,140524.01,0.0,19.23,,11710.142499999996,0.0,15.702500000000002,0.0
6017,HEDNO_biomhxanikoi_6017,Κορωπίου,897242.848000009,0.0,52.728,,74768.27600000004,0.0,47.61933333333333,0.0
6018,HEDNO_biomhxanikoi_6018,Δυτ. Θεσ/κης,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
6019,HEDNO_biomhxanikoi_6019,Βόλου,1887.54399999972,0.0,1.48,,157.29533333333433,0.0,0.9033333333333333,0.0
6020,HEDNO_biomhxanikoi_6020,Αγρινίου,1532.18999999998,0.0,6.85,,127.68250000000002,0.0,5.796666666666667,0.0
6021,HEDNO_biomhxanikoi_6021,Δυτ. Θεσ/κης,358151.764000005,0.0,10.432,,29845.132333333317,0.0,10.367,0.0
