id,prosumer_id,temp_cluster_id
1,20062,1
2,20063,1
3,20064,1
4,20065,1
5,20066,1
6,20067,1
7,20068,1
8,20069,1
9,20070,1
10,20071,1
11,20072,1
12,20073,1
13,20074,1
14,20075,1
15,20076,1
16,20077,1
17,20078,1
18,20079,1
19,20080,1
20,20081,1
21,20082,1
22,20083,1
23,20084,1
24,20085,1
25,20086,1
26,20087,1
27,20088,1
28,20001,2
29,20002,2
30,20003,2
31,20004,2
32,20005,2
33,20006,2
34,20007,2
35,20008,2
36,20009,2
37,20010,2
38,20011,2
39,20012,2
40,20013,2
41,20014,2
42,20015,2
43,20016,2
44,20017,2
45,20018,2
46,20019,2
47,20020,2
48,20021,2
49,20022,2
50,20023,2
51,20024,2
52,20025,2
53,20026,2
54,20027,2
55,20028,2
56,20029,2
57,20030,2
58,20031,2
59,20032,2
60,20033,2
61,20034,3
62,20035,3
63,20036,3
64,20037,3
65,20038,3
66,20039,3
67,20040,3
68,20041,3
69,20042,3
70,20043,3
71,20044,3
72,20045,3
73,20046,3
74,20047,3
75,20048,3
76,20049,3
77,20050,3
78,20051,3
79,20052,3
80,20053,3
81,20054,3
82,20055,3
83,20056,3
84,20057,3
85,20058,3
86,20059,3
87,20060,3
88,20061,3
89,20089,4
90,20090,4
91,20091,4
92,20092,4
93,20093,4
94,20094,4
95,20095,4
96,20096,4
97,20097,4
98,20098,4
99,20099,4
100,20100,4
101,20101,4
102,20102,4
103,20103,4
104,20104,4
105,20105,4
106,20106,4
107,20107,4
108,20108,4
109,20109,4
110,20110,4
111,20111,4
112,20112,4
113,20113,4
114,20114,4
115,20115,4
116,20116,4
117,20117,4
118,20118,4
119,20119,4
120,20120,4
121,20121,4
122,20122,4
123,20123,4
124,20124,4
125,20004,5
126,20010,5
127,20012,5
128,20016,5
129,20027,5
130,20034,5
131,20036,5
132,20038,5
133,20039,5
134,20043,5
135,20045,5
136,20051,5
137,20055,5
138,20072,5
139,20073,5
140,20075,5
141,20079,5
142,20086,5
143,20095,5
144,20102,5
145,20104,5
146,20106,5
147,20110,5
148,20113,5
149,20124,5
150,20125,5
151,20127,5
152,20129,5
153,20133,5
154,20135,5
155,20142,5
156,20144,5
157,20006,6
158,20007,6
159,20009,6
160,20014,6
161,20020,6
162,20024,6
163,20028,6
164,20029,6
165,20042,6
166,20053,6
167,20057,6
168,20060,6
169,20061,6
170,20064,6
171,20066,6
172,20067,6
173,20070,6
174,20076,6
175,20080,6
176,20084,6
177,20087,6
178,20088,6
179,20094,6
180,20099,6
181,20103,6
182,20111,6
183,20112,6
184,20115,6
185,20121,6
186,20128,6
