id,power,energy_type_id,prosumer_id,created_at,updated_at
21,0.0,1,50,2016-10-14 18:50:43 +0300,2016-10-14 18:50:43 +0300
22,0.0,1,51,2016-10-14 18:56:45 +0300,2016-10-14 18:56:45 +0300
23,0.0,1,52,2016-10-14 18:58:44 +0300,2016-10-14 18:58:44 +0300
24,0.0,1,28,2016-10-14 19:15:55 +0300,2016-10-14 19:15:55 +0300
25,0.0,1,30,2016-10-14 19:27:58 +0300,2016-10-14 19:27:58 +0300
27,0.0,1,58,2016-10-14 19:46:43 +0300,2016-10-14 19:46:43 +0300
28,0.0,1,59,2016-10-14 19:48:45 +0300,2016-10-14 19:48:45 +0300
29,0.0,1,60,2016-10-14 19:50:48 +0300,2016-10-14 19:50:48 +0300
30,0.0,1,61,2016-10-14 20:00:10 +0300,2016-10-14 20:00:10 +0300
1,15.0,1,1,2015-04-03 05:42:34 +0300,2015-04-03 05:42:34 +0300
2,20.0,2,1,2015-04-03 05:42:34 +0300,2015-04-03 05:42:34 +0300
3,20.0,2,16,2015-04-03 05:42:56 +0300,2015-04-03 05:42:56 +0300
4,35.0,3,16,2015-04-03 05:42:56 +0300,2015-04-03 05:42:56 +0300
5,50.0,1,19,2015-04-03 05:43:17 +0300,2015-04-03 05:43:17 +0300
6,10.0,3,24,2015-04-03 05:43:34 +0300,2015-04-03 05:43:34 +0300
7,25.0,4,24,2015-04-03 05:43:34 +0300,2015-04-03 05:43:34 +0300
8,20.0,1,4,2015-04-04 02:13:15 +0300,2015-04-04 02:13:15 +0300
9,100.0,2,4,2015-04-04 02:13:15 +0300,2015-04-04 02:13:15 +0300
10,35.0,3,4,2015-04-04 02:13:15 +0300,2015-04-04 02:13:15 +0300
11,200.0,1,11,2015-04-04 02:13:32 +0300,2015-04-04 02:13:32 +0300
12,70.0,2,25,2015-04-04 02:14:02 +0300,2015-04-04 02:14:02 +0300
13,20.0,4,25,2015-04-04 02:14:02 +0300,2015-04-04 02:14:02 +0300
17,100.0,3,19,2015-04-04 02:15:14 +0300,2015-04-04 02:15:14 +0300
18,20.0,4,16,2015-04-04 02:15:30 +0300,2015-04-04 02:15:30 +0300
19,50.0,4,1,2015-04-04 02:15:58 +0300,2015-04-04 02:15:58 +0300
20,100.0,1,49,2016-08-26 00:51:29 +0300,2016-08-26 00:51:29 +0300
